ID,overlap,Conspiracy topic,Label,Time stamp ,Attila ,Dimitris,Ivette ,Neris,Thalia ,Member,NewAddCount,,RatingsCount,
_RU4e3KCwQI,1,Electorial fraud,3,0:57,,3,3,,3,Ivette,Ivette,20,Ivette,96
F70Dm7DWW24,1,Electorial fraud,3,2:18,,,3,3,3,Neris,Neris,20,Neris,46
zSYp919GLhk,1,Pedophilia and government leaders,2,0:20,,2,2,3,,Ivette,Thalia,18,Thalia,61
h08n4LNzKTU,1,Illuminati affiliated celebs,2,1:20,,,2,2,2,Ivette,Dimitris,20,Dimitris,50
_C5zYr4VNsE,1,Flat earth ,3,1:05,,,2,3,3,Ivette,Attila,19,Atilla,38
W1bihTBdEbM,1,Illuminati affiliated celebs,2,0:45,,2,2,,2,Ivette,Total,97,Total,291
L3LINJ3YIE4,1,9/11 (/Government lies),3,5:40,,2,3,,3,Ivette,Complete,97,,
rUwuOGG1YNU,1,covid-19 and masks,2,6:24,,2,2,,2,Thalia,,,,
_Ylt0dhcN4w,1,The Great Reset,2,0:25,,2,2,,2,Thalia,,,,
jweMwOpX_6I,1,"covid019 vaccine, retroviruses and cancer",3,3:30,,2,3,,3,Thalia,,,,
vXRqZoFwKpk,1,"JFK assasination, Rotschilds, financial system",2,21:31,,2,2,3,,Neris,,,,
k3RR7-64zfM,1,Flat earth ,3,1:20,,2,3,,3,Ivette,,,,
4pq5Bq2DdUg,1,Haiti earthquake caused by weapon,2,5:50,,,2,2,2,Ivette,,,,
areIv5h_vss,1,Hitler's death,2,3:56,,,2,2,2,Neris,,,,
5Jm7bZOFb0g,1,Technology supression,2,2:10,,,2,2,2,Ivette,,,,
dVxyeJ7pjSo,1,Avril Lavigne - body double,2,1:26,,,2,2,2,Neris,,,,
Co66qz-fcSY,1,covid-19 vaccine ,2,4:36,,2,2,2,,Neris,,,,
dCkuTnA8ua4,1,Epstein murdered,3,3:10,3,3,3,,,Ivette,,,,
z59UzF5J1Zc,1,Montauk project,2,3:05,,,2,2,2,Neris,,,,
3OEBFYvDf5s,1,Pyramids built by aliens,2,4:01,,,2,2,2,Neris,,,,
WmCfdMkCO0o,1,Electorial fraud,3,1:43,,,3,3,3,Ivette,,,,
mgZahMCulgA,1,Trump-Ukraine interference,3,0:59,,,3,3,3,Ivette,,,,
eyY1h91OCxo,1,Tom Brady is a reptilian ,2,0:15,,,2,2,2,Thalia,,,,
n-UxvT_av0Y,1,demons are on earth,2,1:02,2,,2,,3,Thalia,,,,
5oYNbx91oEk,1,Royal sacrifice of prince Phillip,2,1:50,,,2,2,3,Thalia,,,,
yMvVbOQTo94,1,covid-19 vaccine ,2,0:11,2,,2,,2,Thalia,,,,
T3zh6erGy6E,1,New world order ,2,0:20,2,,2,,2,Thalia,,,,
uu6Mm2rluLc,1,Chemtrails and truth search in Google vs Yahoo,2,1:05,2,,2,,2,Thalia,,,,
1TBxwXYBSCQ,1,Moon landing,2,0:15,,,2,2,2,Ivette,,,,
_GHGFgUB-Ew,1,Lil Nas x satanism,2,4:18,2,,2,,2,Ivette,,,,
te8yLsnLkQo,1,Queen Elizabeth and the missing children,2,1:05,,2,2,,2,Ivette,,,,
p3Y19DTcts4,1,9/11,3,1:21,,3,3,,3,Ivette,,,,
F0g6tg-tPms,1,Fema concentration camps,2,2:53,2,2,2,,,Ivette,,,,
4FN12sqoC4Y,1,Artificial intelligence meets Soros & Musk,3,7:53,3,,3,3,,Neris,,,,
xmC7QBswkqU,1,Soros behind BLM,3,11:22,3,,3,3,,Neris,,,,
27QlHF369ZU,1,Denver Airport & new world order,2,0:33,2,,2,2,,Neris,,,,
UX5OwBnhksY,1,Climate change as a communist lie,3,6:09,,3,3,3,,Neris,,,,
78fHed2ciZY,1,Men in black & Ufo witnesses,3,4:39,,,3,3,3,Neris,,,,
rBs4FD4e5WU,1,Clinton body count,3,0:39,,,3,3,3,Neris,,,,
4yXBysQEUyI,1,Obama is the antichrist,2,2:35,,2,2,,2,Thalia,,,,
64bqwkNMm_g,1,Trump is the future antichrist ,2,0:06,,2,2,,2,Thalia,,,,
o9P0eLdlLbg,1,NASA's secrets,3,0:32,,,3,3,3,Neris,,,,
HbfAeLH7UlM,1,Vril Society ,2,5:22,,,2,2,2,Neris,,,,
yMUZqxz-vYE,1,Alien Agenda & New World Order,3,9:30,,3,3,3,,Neris,,,,
lbgOs3HngMA,1,Biden False Flag Operations,3,9:08,,,3,3,3,Neris,,,,
zFRkQu4we7I,1,Melania Trump - body double,2,0:46,,,2,2,2,Neris,,,,
U2rsIqqSOfQ,1,Elvis faked his death,2,3:34,,,2,2,2,Thalia,,,,
HQirrIiZxF0,1,Retired FBI agent exposes secret society,3,3:45,,,3,3,3,Thalia,,,,
Sjmi21goWwc,1,Spygate,3,0:58,,3,3,,2,Thalia,,,,
JYxJkq5B6ec,1,FBI coverup ,3,7:21,,3,3,,3,Thalia,,,,
aYTmUjDJiq0,1,Nashville CIA FBI coverup ,2,0:25,,2,2,,2,Thalia,,,,
-9xP3b41Qik,1,Michael Jackson was murdered,2,3:50,,2,2,,2,Thalia,,,,
DPRJzNc876A,1,Flat Earth,3,1:10,,2,3,3,,Dimitris,,,,
OnOzOZ2KW4s,1,Flat Earth,3,1:40,,3,3,,3,Dimitris,,,,
T8-YdgU-CF4,1,Flat Earth,3,2:40,,3,3,,3,Dimitris,,,,
gKvWWY03IAw,1,Flat Earth,3,7:15,,3,3,,3,Dimitris,,,,
7VpWYpAWxrM,1,Flat Earth,3,6:05,,3,3,,3,Dimitris,,,,
GIho_gCvYP4,1,Climate change hoax,3,2:09,,3,3,,3,Ivette,,,,
8absr185b04,1,Climate change hoax,3,6:10,3,,3,,3,Ivette,,,,
_5MhgeVWmWE,1,Aids invented,3,7:54,,3,3,,3,Ivette,,,,
BEWz4SXfyCQ,1,area 51,3,1:25,,3,3,,3,Dimitris,,,,
F8kH0QXsSgU,1,Soros behind migration,3,5:49,3,3,,,3,Attila,,,,
pzxjkx-szPY,1,Government testing secret weapon,2,12:57,2,,2,2,,Attila,,,,
4UjqFaQq_7I,1,area 51,3,0:23,,3,3,,3,Dimitris,,,,
zw7A5hjrz58,1,fake snow,2,0:59,,2,2,,2,Dimitris,,,,
lgM8SoLzC3U,1,vaccines,2,3:14,2,,2,2,,Attila,,,,
-knwgFx7BLQ,1,Covid-19,2,0:17,,2,2,,3,Dimitris,,,,
sVYK9-esCKY,1,"Epstein's ""suicide""",2,4:24,2,2,2,,,Attila,,,,
QDIfFb5z7eQ,1,Covid-19,3,7:45,,3,3,,3,Dimitris,,,,
u82iSLtylfQ,1,Bill Gates conspiracies,3,4:30,,3,3,,3,Dimitris,,,,
fMxFSfIV3Dc,1,CIA invention AIDS,3,0:15,,3,3,2,,Neris,,,,
PTz1Dm9iavk,1,Paul McCartney replacement + Beatles society engineering,3,4:42,,3,3,3,,Neris,,,,
cO_fWUiO70s,1,The secret Soros-Kusner deal,3,2:52,3,,3,,3,Attila,,,,
KfV6NPKbLqc,1,Bill Gates conspiracies,3,3:40,3,,3,2,,Attila,,,,
UCEjpJG_578,1,Stolen election,3,3:11,3,3,3,,,Attila,,,,
ygt2Sq1upcs,1,Fluoridation,3,2:09,3,,3,1,,Attila,,,,
k-mSuiW0RXs,1,Obama is the antichrist,2,7:01,2,,2,,2,Attila,,,,
-7o3bVInA2A,1,Qanon,3,3:00,3,3,3,,,Dimitris,,,,
6B-_u8a3plE,1,Hollywood Conspiracies,2,0:38,,2,2,,2,Dimitris,,,,
jbQBeHXdWgw,1,Beyonce is a reptilian,2,0:26,,2,2,,2,Thalia,,,,
f0eIMUHictw,1,Flat Earth,3,2:52,3,,3,3,,Attila,,,,
2zil2GTcPEw,1,Weather weapons,2,2:43,2,,2,2,,Attila,,,,
k4-rs5JiqqA,1,5G,2,2:23,2,,2,2,,Attila,,,,
1Jg92tgN_l8,1,5G,2,2:23,2,,2,2,,Attila,,,,
X-oJNOFUujo,1,5G,2,0:59,2,,2,2,,Attila,,,,
9M7oLxDmaek,1,Covid and 5G,2,0:59,2,,2,3,,Attila,,,,
vhYoEAAYi1w,1,BLM,3,1:40,3,3,3,,,Dimitris,,,,
K2S75Xrqncw,1,9/11 and Moon Landing conspiracies,2,13:41,2,2,2,,,Dimitris,,,,
1MzxFwglO10,1,9/11,3,1:33:14,3,3,3,,,Dimitris,,,,
EUJozeN7WyM,1,Election Fraud,2,1:25,2,2,2,,,Dimitris,,,,
5N0SfkKQNhg,1,9/11,3,2:20,3,3,3,,,Dimitris,,,,
mAbgrGdx5Xg,1,Trump,2,,2,2,2,,,Dimitris,,,,
V6yHPRsxyRo,1,Flat Earth,2,1:17,2,2,2,,,Dimitris,,,,
RE9pP1BTBO8,1,lizard people,2,3:03,2,,2,2,,Attila,,,,
DAo_CDPDKA0,1,Area 51,2,2:31,2,,2,,2,Attila,,,,
fSVJffE_Msc,1,Background power,3,2:59,3,,3,3,,Attila,,,,
ZODE_sRMiT0,1,Bilderberg Group,2,3:52,3,,2,2,,Attila,,,,